split,instrument,topic,lag,m5_confirmed,m5_score,m5_pvalue,m5_n,m5_reason,m6_confirmed,m6_score,m6_pvalue,m6_n,m6_reason,confirmed,error,elapsed_s
train,USD_RUB,oil,7,False,-0.00083,0.449586,454,z_below_crit,False,0.001291,0.53,448,ic_below_min,False,,0.2
train,USD_RUB,oil,14,False,0.000584,0.624089,454,z_below_crit,False,0.041734,0.81,441,ic_below_min,False,,0.16
train,USD_RUB,oil,30,False,0.001852,0.162642,454,z_below_crit,False,0.069768,0.14,425,bootstrap_ci_includes_zero,False,,0.2
train,USD_RUB,oil,60,False,-0.000132,0.777652,454,z_below_crit,False,0.001975,0.49,395,ic_below_min,False,,0.31
train,USD_RUB,oil,90,False,-6.4e-05,0.806113,454,z_below_crit,False,0.019588,0.305,365,ic_below_min,False,,0.48
train,USD_RUB,rate,1,False,0.000186,0.752745,454,z_below_crit,False,0.095006,0.93,454,ic_below_min,False,,0.17
train,USD_RUB,rate,7,False,0.000203,0.810121,454,z_below_crit,False,0.039383,0.2,448,bootstrap_ci_includes_zero,False,,0.19
train,USD_RUB,rate,14,False,0.000334,0.754178,454,z_below_crit,False,0.037805,0.245,441,bootstrap_ci_includes_zero,False,,0.17
train,USD_RUB,rate,30,False,-5e-06,0.997102,454,z_below_crit,False,0.047934,0.815,425,ic_below_min,False,,0.25
train,USD_RUB,rate,60,False,-0.000371,0.566854,454,z_below_crit,False,0.020735,0.285,395,ic_below_min,False,,0.34
train,USD_RUB,rate,90,False,-0.000349,0.413384,454,z_below_crit,False,0.052008,0.15,365,bootstrap_ci_includes_zero,False,,0.46
train,USD_RUB,ruble,1,False,0.000379,0.764592,454,z_below_crit,False,0.04423,0.23,454,bootstrap_ci_includes_zero,False,,0.17
train,USD_RUB,ruble,7,False,0.000896,0.488441,454,z_below_crit,False,0.048318,0.21,448,bootstrap_ci_includes_zero,False,,0.14
train,USD_RUB,ruble,14,False,-5.4e-05,0.967569,454,z_below_crit,False,0.118316,0.975,441,ic_below_min,False,,0.2
train,USD_RUB,ruble,30,False,-0.000521,0.724935,454,z_below_crit,False,0.004196,0.47,425,ic_below_min,False,,0.22
train,USD_RUB,ruble,60,False,0.000192,0.785006,454,z_below_crit,False,0.036344,0.255,395,bootstrap_ci_includes_zero,False,,0.31
train,USD_RUB,ruble,90,False,0.000207,0.681937,454,z_below_crit,False,0.006713,0.475,365,ic_below_min,False,,0.47
train,USD_RUB,sanctions,1,False,0.001614,0.077713,454,z_below_crit,True,0.134829,0.01,454,ok,False,,0.19
train,USD_RUB,sanctions,7,False,-2.8e-05,0.977451,454,z_below_crit,False,0.031252,0.205,448,bootstrap_ci_includes_zero,False,,0.16
train,USD_RUB,sanctions,14,False,-0.001714,0.152658,454,z_below_crit,False,0.074295,0.945,441,ic_below_min,False,,0.18
train,USD_RUB,sanctions,30,False,-0.000598,0.634892,454,z_below_crit,False,0.072629,0.105,425,bootstrap_ci_includes_zero,False,,0.24
train,USD_RUB,sanctions,60,False,-0.000113,0.848819,454,z_below_crit,False,0.045123,0.815,395,ic_below_min,False,,0.33
train,USD_RUB,sanctions,90,False,0.000273,0.476548,454,z_below_crit,False,0.016716,0.42,365,ic_below_min,False,,0.47
train,USD_RUB,inflation,1,False,0.00011,0.879772,454,z_below_crit,False,0.035137,0.69,454,ic_below_min,False,,0.21
train,USD_RUB,inflation,7,False,7.6e-05,0.9352,454,z_below_crit,False,0.037075,0.81,448,ic_below_min,False,,0.16
train,USD_RUB,inflation,14,False,0.000691,0.542178,454,z_below_crit,False,0.033775,0.715,441,ic_below_min,False,,0.2
train,USD_RUB,inflation,30,False,-0.000583,0.683579,454,z_below_crit,False,0.003289,0.59,425,ic_below_min,False,,0.22
train,USD_RUB,inflation,60,False,0.000458,0.484517,454,z_below_crit,False,0.006295,0.505,395,ic_below_min,False,,0.34
train,USD_RUB,inflation,90,False,-0.000218,0.647419,454,z_below_crit,False,0.079462,0.925,365,ic_below_min,False,,0.49
train,USD_RUB,banking,1,False,1.2e-05,0.989056,454,z_below_crit,False,0.020878,0.71,454,ic_below_min,False,,0.17
train,USD_RUB,banking,7,False,0.000801,0.415685,454,z_below_crit,False,0.029658,0.33,448,ic_below_min,False,,0.17
train,USD_RUB,banking,14,False,0.000254,0.815778,454,z_below_crit,False,0.064515,0.9,441,ic_below_min,False,,0.2
train,USD_RUB,banking,30,False,0.000579,0.678954,454,z_below_crit,False,0.079218,0.94,425,ic_below_min,False,,0.21
train,USD_RUB,banking,60,False,-0.000621,0.284908,454,z_below_crit,False,0.022795,0.33,395,ic_below_min,False,,0.37
